Time (s),Altitude (m),Radius (m),Radial Velocity (m/s),True Anomoly (rad),Angular Velocity (rad/s)
32758000.0,280657.70300491713,6658757.703004917,-0.059122955941894484,37244.951751256995,0.001161926960523937
32760000.0,280538.87436491344,6658638.874364913,-0.059886435437365514,37247.27563616168,0.0011619580299752073
32762000.0,280418.5348274475,6658518.5348274475,-0.060159840069783144,37249.59958374744,0.0011619895810834654
32764000.0,280298.644985185,6658398.644985185,-0.05992431241987954,37251.92359430022,0.0011620209291460847
32766000.0,280177.85549423844,6658277.855494238,-0.060906414728247905,37254.2476676586,0.0011620525449374235
32768000.0,280055.9756194223,6658155.975619422,-0.0607440850331693,37256.57180472921,0.0011620844942644404
32770000.0,279934.60353233013,6658034.60353233,-0.0609176473825563,37258.89600543023,0.0011621162190247195
32772000.0,279811.72078037914,6657911.720780379,-0.061765121769329454,37261.22026997496,0.0011621484234138055
32774000.0,279688.5360231977,6657788.536023198,-0.06137127384486242,37263.54459914669,0.0011621806847725332
32776000.0,279565.34064786416,6657665.340647864,-0.062066688941578685,37265.868992654905,0.0011622129012382274
32778000.0,279440.5278725242,6657540.527872524,-0.06246365054521956,37268.193451149615,0.0011622456331211045
32780000.0,279315.98338192236,6657415.983381922,-0.06222771640563585,37270.517975047354,0.0011622782215094996
32782000.0,279190.6738637788,6657290.673863779,-0.06314003858127716,37272.84256418985,0.0011623110269732577
32784000.0,279064.1620204961,6657164.162020496,-0.06311069261256567,37275.16721943333,0.0011623442014100133
32786000.0,278938.0817025844,6657038.081702584,-0.06324960490835964,37277.49194080195,0.0011623771739570914
32788000.0,278810.5411563646,6656910.541156365,-0.06415750143945649,37279.816728476166,0.0011624106048061164
32790000.0,278682.48895585164,6656782.488955852,-0.0637915130631738,37282.14158330279,0.0011624441618773036
32792000.0,278554.5702713458,6656654.570271346,-0.06440190078219915,37284.46650501903,0.0011624776196651249
32794000.0,278424.85848318227,6656524.858483182,-0.06500337100109177,37286.79149422492,0.001162511650374758
32796000.0,278295.3570845658,6656395.357084566,-0.06462176130206677,37289.11655149106,0.001162545553556043
32798000.0,278165.21758003905,6656265.217580039,-0.06563182239192968,37291.4416765533,0.0011625796253871715
32800000.0,278033.57175451703,6656133.571754517,-0.06573104257203488,37293.76687034687,0.0011626141682403483
32802000.0,277902.42197434325,6656002.421974343,-0.06568974334513597,37296.09213301613,0.0011626484821859562
32804000.0,277769.90291578975,6655869.90291579,-0.06675235434051573,37298.417464593025,0.0011626832184799337
32806000.0,277636.52804473694,6655736.528044737,-0.06646411211281927,37300.74286605999,0.0011627181967768976
32808000.0,277503.43065256905,6655603.430652569,-0.06692671549451165,37303.06833723286,0.0011627530208589113
32810000.0,277368.5443009762,6655468.544300976,-0.06770604746777281,37305.39387857985,0.0011627884120660448
32812000.0,277233.50863549765,6655333.508635498,-0.06736541752249453,37307.71949084668,0.0011628237966384712
32814000.0,277098.11911858805,6655198.119118588,-0.06822091288446379,37310.045173793456,0.001162859245795202
32816000.0,276961.0228483826,6655061.022848383,-0.06855257562618877,37312.37092824184,0.0011628952314005525
32818000.0,276824.2687958926,6654924.268795893,-0.06842563238084706,37314.69675453837,0.001162931036778513
32820000.0,276686.3051473899,6654786.30514739,-0.06949684541697941,37317.02265265492,0.0011629672038656878
32822000.0,276547.2599195065,6654647.2599195065,-0.06935102757877638,37319.34862358085,0.0011630036868769576
